artistName,tag1,tag2,tag3
Parcels,funk,indie,indie pop
Ray Charles,jazz,soul,blues
La Mosca Tse-Tse,argentina,ska,pop
Dj Bitman,electronic,funk,Hip-Hop
Andrew Lloyd Webber,musical,Soundtrack,Classical
Kasper Lindmark,instrumental hip-hop,beats,swedish
FISHER,female vocalists,indie,House
Kim Loaiza,latin,Reggaeton,urban
Keys & Copper,
"Tyler, The Creator",Hip-Hop,rap,ofwgkta
St. Lucia,synthpop,electronic,indie
The Teskey Brothers,soul,blues,Aussie Rock
Cast - Sofia the First,Disney
Plan B,Hip-Hop,british,Grime
James Horner,Soundtrack,instrumental,Classical
Cheo Gallego,rap,hip hop,Colombia
Fer Palacio,baile,boliche,joda
Dave Knud,
Otis Redding,soul,rhythm and blues,blues
Shakira,pop,latin,female vocalists
Yo Preston,
Foreigner,classic rock,rock,hard rock
DJ Kessler,
Rodrigo Flores López,
2CELLOS,instrumental,cello,Symphonic Rock
Jack Savoretti,acoustic,singer-songwriter,folk
Paula Bas,
Alessi Brothers,pop,80s,70s
Kevin Close,
Milton Nascimento,mpb,brazilian,brasil
El Dipy,Cumbia villera,argentina,cumbia
Carlos Ramón Fernández,argentina
Crema del Cielo,indie,alternative,argentina
Boy George,pop,80s,new wave
Eduardo Luzquiños,lofi,electronic,Peru
ThomyDomé,
ALO,acoustic,rock,funk
LCD Soundsystem,electronic,indie,dance
El Payaso Plim Plim,infantil,kids
Peso Pluma,mexico,Reggaeton,Corridos tumbados
MC Lan,brazil,brazilian,funk
Cast Of Camp Rock,Disney,Soundtrack,pop
Five Finger Death Punch,groove metal,metalcore,metal
The Sound Of The Rain,
Eminem,rap,Hip-Hop,hip hop
Manuel López Naón,
Ab-Soul,Hip-Hop,rap,underground hip-hop
Smash Mouth,rock,alternative rock,alternative
Vanessa Da Mata,mpb,female vocalists,brazilian
Daði Freyr,icelandic,pop,synthpop
G sus B,
Billie Eilish,pop,indie pop,electropop
Lucenzo,reggae,dance,rnb
Lettere a Sleepnes,
De La Calle,cumbia,argentina,Cumbia villera
Evaluna Montaner,pop,latin,Soundtrack
Paul McCartney,classic rock,rock,british
Gilbert O'Sullivan,pop,70s,soft rock
Los Heladeros Del Tiempo,
Jamie Lancaster,jazz,All,chillout
The Rainforest Collective,
Field Medic,indie folk,Lo-Fi,indie
Tomas Dobarro,
Paulo Sánchez Lima,
Zimmer90,indie,pop,alternative
Jose Luis Reyes,
James Newton Howard,Soundtrack,instrumental,composer
Cumulus Clouds,
Matt Nathanson,singer-songwriter,acoustic,indie
Lodovica Comello,pop,Disney,italian
James Arthur,pop,british,indie
Los Gatos,argentina,rockabilly,Rock Argentino
Alexander Acha,latin,pop,latino
Alex Wall,
LA TROPA ESTRELLA,
noiZzz in the dark,
Sheppard,indie,australian,indie pop
José Ramón Nogueras,Disney
Nirvana,Grunge,rock,alternative rock
Robbie Williams,pop,britpop,british
Michael Bolton,pop,soft rock,soul
Loud Luxury,House,pop,electronic
Banda Sintamos de AA,
Super Flumina,
Rionegro & Solimões,brazilian country,sertanejo,musica brasileira
Wallows,indie,indie rock,indie pop
KT Tunstall,female vocalists,singer-songwriter,pop
Emmi Dj,
Domino Saints,female vocalists,latin,latin pop
Foreign Beggars,Hip-Hop,Grime,dubstep
Tundra Beats,beats,chillout,chillhop
Stephen Dawes,pop,indie,indie pop
Scientific Sleep,
The Enemy,indie rock,indie,british
DJ Krass,
Grupo Bomba,
Polimá Westcoast,latin,chile,trap latino
benny blanco,pop,hip hop,electronic
Jenna Torres,country,singer-songwriter,female vocalists
Feli Colina,indie,alternative,folklore
Rosana,spanish,female vocalists,latin
Johnny Rain,rnb,electronic,soul
INXS,rock,new wave,80s
Temple Of The Dog,Grunge,alternative rock,rock
The Virgins,indie,indie rock,new wave
ASTO,electronic
Boston,classic rock,rock,hard rock
Magic System,african,french,Ivory Coast
Vampire Weekend,indie,indie rock,indie pop
Manuel Turizo,Reggaeton,latin,pop
Carolina Liar,indie rock,alternative rock,indie
Tambó Tambó,cumbia,argentina
MILIKI,psychedelic trance,Ragga Jungle,psicodelico
Brytiago,latin,Reggaeton,male vocalists
Megan Davies,indie,folk,singer-songwriter
Lashana Lynch,
Sak Noel,dance,House,electro
Josearmen,
Valentino Merlo,
Bek Santis,
Randy Petersen,world
Nek,italian,pop,rock
Ambi Val,
The Cool Kidzz,
Mandevilla,jazz
Vince Staples,Hip-Hop,rap,hip hop
Suzanne Vega,female vocalists,singer-songwriter,folk
Rebounder,indie pop,power pop,indie rock
John Vincent III,folk,USA,funk_add_to_lidarr_batch_13
Mark Ronson,funk,british,pop
6ix9ine,Hip-Hop,rap,trap
Bad Owl,
Música De Relajación Para Dormir Profundamente,
The Animals,classic rock,60s,rock
Rob $tone,trap,Hip-Hop,rap
NATHY PELUSO,pop,rnb,spanish
Ituana,jazz,lounge,Bossa Nova
Rascal Flatts,country,country pop,rock
La Portuaria,argentina,rock argento,rock
The Mr. Pickwick Singers,
Olly Murs,pop,british,male vocalists
Morat,colombian,latin pop,latino
Chimarruts,reggae,brazilian,brazil
Supertramp,Progressive rock,classic rock,rock
Nancy Loaiza,
CKay,rnb,nigerian,afrobeat
Aaryn Doyle,pop,rock,Disney
Ed Sheeran,acoustic,british,singer-songwriter
Mauricio Galbardi,guitar,acoustic,instrumental guitar
Marito Baracus,argentina
Cheryl B. Engelhardt,indie pop,new age,female vocalists
Mariachi México de Pepe Villa,trumpet,guitar,70s
Rescate,rock,argentina,christian
Canticuénticos,
Bad Sounds,indie pop,indie,pop
Counting Crows,rock,alternative rock,alternative
Sofía Reyes,pop,Reggaeton,mexico
John Legend,soul,rnb,Neo-Soul
Los Fabulosos Cadillacs,ska,argentina,latin
Sky Rompiendo,UK,Reggaeton,Colombia
Iclp Worship,
Kings of Leon,rock,indie,indie rock
Christophe Héral,Soundtrack,composer,video game music
La Banda De Lechuga,Cumbia villera
David Bowie,glam rock,rock,classic rock
Kid Travis,rnb,acoustic,cover
Edison Lighthouse,classic rock,pop,oldies
Music Waves,
Kalimba Marichal,Disney
Granular,white noise
Kacey Musgraves,country,female vocalists,pop
Oriana,pagan metal,folk metal,pop
Carlos Petrel,
Jese,
Papichamp,argentina,cumbia,Cumbia villera
DJ Snake,trap,electronic,dance
Naomi Scott,pop,pop rock,female vocalists
Luis Ángel Gómez Jaramillo,Disney,Soundtrack,mexico
Heart,classic rock,rock,hard rock
Ephixa,dubstep,electronic,hardstyle
TOTO,rock,classic rock,80s
Mozthaza,
Penguin Prison,electronic,indie,electropop
Miguel Serugetti,guitar
Dayme y El High,Colombia,Reggaeton,Latin Urban
Boyce Avenue,acoustic,alternative,rock
Portraits in Jazz,jazz
Guy Harvey,
K'NAAN,Hip-Hop,african,rap
Robin Williams,comedy,stand-up,Soundtrack
Mau y Ricky,Reggaeton,latin,dance
Auli'i Cravalho,Disney,pop,Soundtrack
Little Jesus,mexico,TropiPop,latin
Lauta,
Stevie Wonder,soul,funk,motown
The Cranberries,rock,alternative,alternative rock
The Rasmus,rock,alternative rock,finnish
Yolanda Rae,
The Night Café,indie rock,alternative,indie
Norda,indietronica,electronic,downtempo
Huntar,electronic,trance,uplifting trance
Tanya Stephens,reggae,dancehall,ragga
Matt and Kim,indie pop,indie,electronic
Don Carlos,reggae,roots reggae,dub
Gabriella Di Grecco,pop,brasil,Disney
Loafy Building,Lo-Fi,electronic,UK
Fonseca,latin,Colombia,latin pop
Brad Kane,Disney,Soundtrack,musical
Héctor Lama,
Santimaye,
Sarah and the Sundays,indie rock,alternative,american
Juan Pablo Vega,Colombia,soul,indie
Miami Sound Machine,pop,80s,dance
Hermana Glenda,catholic,spanish,female vocalists
Axwell / Ingrosso,
Fabiana Cantilo,Rock Argentino,rock,argentina
Arcade Fire,indie rock,indie,alternative
Bush,Grunge,alternative rock,rock
Baby Queen,indie pop,pop,south african
Quiet Riot,heavy metal,hard rock,hair metal
Athenas,pop,argentina,catholic
Lilly Oxford,
PLATANOS,
Fitz and The Tantrums,soul,pop,indie
Thomas Bergersen,Soundtrack,epic,Trailer Music
Beto Castillo,tango,argentina,milonga
Liam Gallagher,britpop,rock,british
El negro tecla,rkt,argentina
Maroon 5,pop rock,rock,pop
João Neto & Frederico,sertanejo,brazilian,brasil
NoMBe,electronic,All,indie
Nonpalidece,reggae,reggae argentino,argentina
JPCC Worship,christian,praise and worship,indonesian
Andreya Triana,soul,jazz,downtempo
Don Diablo,House,electronic,dance
Hakuna Group Music,
Alejandro Sanz,spanish,pop,latin
División Minúscula,mexico,punk rock,rock
Kevin Kiner,Soundtrack,Star Wars,composer
La 25,Rock Argentino,rock stone,rock barrial
Various Artists,
Sabino,Rap Mexicano,rap,mexican
Tin.,
Callinsick,
Pentadecimal,under 2000 listeners
Jim Efforts,
ZAAC,brazilian,funk,Funk Carioca
Fanko,latin,ska,funk
Justice,electronic,french,electro
Coro del Colegio Los Robles Pilar,
Jason Mraz,acoustic,singer-songwriter,pop
creamy,danish,pop,dance
The Sylvers,soul,funk,Disco
FX Soundtrap,
Apollo James,
Pat Barrett,ccm,christian,worship
Alberto Selly,Italy,italian,Musica Leggera
hfaa69,
FMLYBND,synthpop,indie,USA
Angela Lansbury,Soundtrack,Broadway,Disney
Dove Cameron,pop,Disney,female vocalists
Milli Hughes,relaxing,noise,calm
Jeremy Zucker,pop,indie,indie pop
Leonchalon,reggae,argentina,dancehall
Nil Moliner,singer-songwriter,pop,indie pop
The Monkees,60s,classic rock,pop
Santaferia,cumbia,chile,cumbia casera
The Love-In,madchester,funk,psychedelic
Estopa,spanish,Flamenco,pop
Chico César,mpb,brasil,brazilian
Bombay Bicycle Club,indie,british,indie rock
JETT.A,rock,alternative rock,alternative
Juan Lovi,
Jodi Benson,Disney,female vocalists,Soundtrack
Raol Marquis,
Ziggy Marley,reggae,roots reggae,jamaica
French Montana,Hip-Hop,rap,hip hop
Alan Walker,electronic,House,EDM
MOTi,dance,electronic,rnb
Portishead,trip-hop,electronic,female vocalists
Azul Azul,bolivia,latin,latin pop
Wizard,Power metal,heavy metal,true metal
Griss Romero,acoustic,pop,mexican
Sueño Tsunami,
Jim Diamond,80s,pop,singer-songwriter
Gracia Soberana Música,
Green Day,punk rock,rock,punk
IAmChino,latin,world,Reggaeton
Tihuana,rock,brazilian,brazilian rock
Los Yerberos,
Taburete,spanish,spain,barcenas
Martin Solveig,House,electronic,dance
Ross Lynch,pop,rock,american
Los Mesoneros,venezuela,alternative,alternative rock
Wild Cub,electronic,synthpop,electropop
Antonio Vivaldi,Classical,baroque,instrumental
Nicole Kidman,Soundtrack,female vocalists,musical
Lullaby Renditions,
Lenny Kravitz,rock,funk,alternative
Iman,Progressive,jazz,progressive trance
ProSource Karaoke,All
Natalie Summer,
X Ambassadors,indie,pop,indie pop
Rochy RD,dembow,latin,rap
Espen Kristiansen,
Derek Hough,
Edward Maya,electronic,House,dance
Bombai,valencia,spain
