name,genre,spotifyId
Sports,,4AGNJdJiVltImYk1UTLE0K
Ozonezzz,,3D4ZyZNY4vP7YHF9CtWQzZ
Parcels,indie soul,3oKRxpszQKUjjaHz388fVA
despejado,latin indie,4kTfrhAyBXPkQDze0FXKyZ
Niall Horan,,1Hsdzj7Dlq2I7tHP7501T4
Bauti Mascia,cumbia,4cV73y9UlkKTCIWbuP2hbG
Kungs,,7keGfmQR4X5w0two1xKZ7d
Xuxa,lullaby,4DOlsUBpxw706SXx05Xoi2
The Reytons,,3RHoFGKe6KE3LLml7ujPKJ
Rod Stewart,soft rock,2y8Jo9CKhJvtfeKOsYzRdT
Chico De Neón,,4vllv4d7oHuS7Nhert1cf2
La T y La M,cumbia,1FxPMQ9A0882eNDx3ZkD6B
Plan B,reggaeton,2jSGzJw0ebJLu7OLVSOcBP
Laza Bossa,bossa nova,2We4jc3vE6qvySVXKR1XgF
Fatboy Slim,big beat,4Y7tXHSEejGu1vQ9bwDdXW
Daniel Andrés,,3osQVuvWyX0Cxs0XTrB96q
Shakira,latin pop,0EmeFodog0BfCgMzAIvKQp
American Authors,,0MlOPi3zIDMVrfA9R04Fe3
Wheatus,,4mYFgEjpQT4IKOrjOUKyXu
Molotov,rock en español,27Owkm4TGlMqb0BqaEt3PW
Leo Maslíah,candombe,1V91O7M7AAOZxWnTRDlJy7
Jet,,5ypxebeHEIXjMtJb17uJlI
CeeLo Green,,5nLYd9ST4Cnwy6NHaCxbj8
Bossa Bros,bossa nova,5jd0MgoI9F3hxcQHBPEk6V
Boza,reggaeton,2NfSBtmWe7oPw1EmetJVso
Lukas Graham,dansk pop,25u4wHJWxCA9vO0CzxAbK7
Zak Downtown,,2qcAIycColPoLfaz16NvbI
Relaxing Noises,,3uMJsDLenRrP1soBlu3YKq
El Cuarteto De Nos,cuarteto,13JJKrUewC1CJYmIDXQNoH
Tom Odell,,2txHhyCwHjUEpJjWrEyqyX
Manu Chao,latin alternative,6wH6iStAh4KIaWfuhf0NYM
Lilly Wood and The Prick,french indie pop,50OApTJurDusIo9dGTqSU4
Beck,anti-folk,3vbKDsSS70ZX9D2OcvbZmS
De La Rivera,latin alternative,4U48zETkokPB76fnXQiO2b
La Franela,argentine rock,5P57GCRyvU7ln5GwNXU8ku
Vicentico,argentine rock,25THA9HUHoxpCT4LBp7UsZ
BROODS,,5r5Va4lVQ1zjEfbJSrmCsS
Rawayana,reggae en español,2AbQwU2cuEGfD465wCXlg2
LCD Soundsystem,alternative dance,066X20Nz7iquqkkCW6Jxy6
Radiohead,art rock,4Z8W4fKeB5YxbusRsdQVPb
Sky Travis,,5IkHDfUNRiqyATjgbDHuGy
WALK THE MOON,,6DIS6PRrLS3wbnZsf7vYic
Charly García,argentine rock,3jO7X5KupvwmWTHGtHgcgo
TX Phoenix,,7eRjokfkxztzC4Cp41EPz6
Daft Punk,french house,4tZwfgrHOc3mvqYlEYSvVi
Bakar,,3K2Srho6NCF3o9MswGR76H
Ben Platt,musicals,6qGkLCMQkNGOJ079iEcC5k
Young Cister,chilean trap,0Yg29FX1M4ayqjXs0ttZFq
Young the Giant,,4j56EQDQu5XnL7R3E9iFJT
Bob Marley & The Wailers,reggae,2QsynagSdAqZj3U9HgDzjD
Declan McKenna,,2D4FOOOtWycb3Aw9nY5n3c
Yusuf / Cat Stevens,folk rock,08F3Y3SctIlsOEmKd6dnH8
Coldplay,,4gzpq5DPGxSnKTe4SA8HAU
Nylana,,0xlINdzWCaaz7cIzrUDhfW
BAMBI,,0nDw7H8W4oU0QPzL4LC9Aj
Tom Grennan,,5SHxzwjek1Pipl1Yk11UHv
The Whitest Boy Alive,,1qcU8NabUQ5efQf8UGW6CV
Celia Cruz,salsa,2weA6hhVqTIN2gSn9PUB9U
XANDDY HARMONIA,axé,3VZXmYrB3MxMfTZKIVZA1J
José Octavio I,latin indie,379umh6o5MFHzFNbk5btZw
overpass,,2y3PEaAgTdxYfbyeSXORv8
Tears For Fears,new wave,4bthk9UfsYUYdcFyqxmSUU
Zimmer90,,7cViIoKAQrjHURdxb9ACCX
Cumulus Clouds,,5uhJr7gBXHomu0djGtzIgT
Kameleba,reggae en español,2oSUm3Sv4yNsTLaYuROuST
Silvestre y La Naranja,latin indie,1hE5imhaIrCEKoHLHW9aCO
Papanegro,funk rock,3YIlnLkPcxVni4w8FGWJnm
Noise Sucre,,0VaiZ9oyrhoCIqIzyVJdgq
Steve Lacy,,57vWImR43h4CaDao012Ofp
The Royston Club,,5N5jf98OOEf3uAIJpi1deD
Hannah Montana,,7nU4hB040gTmHm45YYMvqc
Moby,downtempo,3OsRAKCvk37zwYcnzRf5XF
New Order,new wave,0yNLKJebCb8Aueb54LYya3
Dread Mar I,reggae en español,1aw0Cdl1DIrtUrUA6fGbAR
Winyah,,4iyP4VOGOLzbt2Vxcyu6zG
Robbie Williams,,2HcwFjNelS49kFbfvMxQYw
Cocoon,french indie pop,15h5B5quwDm2C1rhbtvUPD
Skylar Grey,,4utLUGcTvOJFr6aqIJtYWV
junodream,,4jPWi4cSe5zK2dUCLWiBaN
Intoxicados,argentine rock,4VgvR7eu3k2T20mo6mXhXF
Super Flumina,mexican indie,39jtNDeklwMnrUYx8M7SgK
Lionel Richie,motown,3gMaNLQm7D9MornNILzdSl
Virus,latin rock,0G7A5LzQAs2egiQl7hO5tV
Wallows,indie,0NIPkIjTV8mB795yEIiPYL
ROSE BEAT,,47SxJ59gTjhzswBGMkwWfz
KT Tunstall,,5zzrJD2jXrE9dZ1AklRFcL
Katy Perry,pop,6jJ0s89eD6GaHleKKya26X
Charlie Puth,soft pop,6VuMaDnrHyPL1p4EHjYLi7
a-ha,new wave,2jzc5TC5TVFLXQlBNiIUzE
ZAYN,,5ZsFI1h6hIdQRw2ti0hz81
Bloc Party,indie rock,3MM8mtgFzaEJsqbjZBSsHJ
Karen Souza,bossa nova,2d5lQo9YQ1DkAsBKTRp7Iu
Audioslave,grunge,2ziB7fzrXBoh1HUPS6sVFn
Avril Lavigne,,0p4nmQO2msCgU4IF37Wi3j
Daniela Mercury,axé,2krrkKvM52JgvfGu2Uewbg
Los Caballeros De La Quema,argentine rock,6Iv9dXeKX45ff7qe0LDuFW
Benjamín Amadeo,,6GYXfifD78PYARjZzxQzrG
Duki,argentine trap,1bAftSH8umNcGZ0uyV7LMg
WOS,argentine trap,5YCc6xS5Gpj3EkaYGdjyNK
Bryant Myers,trap latino,6w9ToX5slZ4uIdmD17hJ3c
Janaína,bossa nova,6XhfIDQSH8F4gfr189EL9q
The Virgins,,6RNuLHIAlLt1FQHm03oEru
MEMESVICES,,3j3gK5fx8dfcYzpC6MuwQl
Los Abuelos De La Nada,argentine rock,5R3NywPPOyhLfdvutgg0me
Inner Circle,reggae,5os0Ltvz8Q8BvXOPOd1frx
Vampire Weekend,indie,5BvJzeQpmsdsFp4HGUYUEx
Koino Yokan,,31kgZWvoPhxDcTKgVbgi3J
Bandalos Chinos,latin indie,0wn2qDKzeFlhjRUtJAwJjp
TV Girl,,0Y6dVaC9DZtPNH4591M42W
Kid Bloom,,5CXdWANGwYYRPClH6hhC0P
LeetStreet Boys,,5t1WXpwXhmO2JoGchjSYH5
Mc_team,,3MJrefxSroHCVFRnck3EFm
Neon Trees,,0RpddSzUHfncUWNJXKOsjy
C. Tangana,,5TYxZTjIPqKM8K8NuP9woO
Plain White T's,,1g1yxsNVPhMUl9GrMjEb2o
Shaggy,reggae,5EvFsr3kj42KNv97ZEnqij
Eze Gruber,,3AKE5y1ax9MXWXvb63DRnH
Frank Ocean,,2h93pZq0e7k5yf4dywlkpM
Coolio,west coast hip hop,3y24n3XhZ96wgwRXjvS17T
PREVIA Y CACHENGUE 2K24,rkt,23mWph3jTabzOkROilYBYK
4*TOWN (From Disney and Pixar’s Turning Red),,7jLpPyJ5gQxCvwiBsUfFu6
W Sound,,5uwa6tAMMfNbBFIHiI6NV4
L'Impératrice,french indie pop,4PwlsrN0t5mLN0C827cbEU
Phillip Phillips,folk pop,6p5JxpTc7USNnBnLzctyd4
Braulio Sauce,mexican indie,5xbovcvBXyYGcB9jnChhax
Luck Ra,cuarteto,4kcQWQDK0u9AftVSpdrAgk
Evlay,argentine trap,2JsDK87cAxuUlz4L4izU7A
Braga Boys,axé,4I3PGf3JIZjpBOtxg3ijKX
Goodboys,,2nm38smINjms1LtczR0Cei
Airbag,argentine rock,1wKDGglKV4FsFS85r2Dmpr
Soledad,folklore argentino,0K59Fm1y7s3j498ueS4qzY
Gustavo Cerati,argentine rock,1QOmebWGB6FdFtW7Bo3F0W
Mura Masa,,5Q81rlcTFh3k6DQJXPdsot
NONONO,,513t0jZUP0K98C4h7KHtEb
Rebounder,,2g2HWripkxzRZDZJ4KTBSB
Dr. Dreammaker,,761jLrJ3YSvCWz7F0NPZJY
Mark Ronson,,3hv9jJF3adDNsBSIQDqcjp
Gnarls Barkley,,5SbkVQYYzlw1kte75QIabH
El Bogueto,reggaeton mexa,3S9Hg7sRKhmtWunFZ2yAYP
Travie McCoy,,7o9Nl7K1Al6NNAHX6jn6iG
Tiago PZK,argentine trap,5Y3MV9DZ0d87NnVm56qSY1
Jack Stauber,,1vVHevk2PD45epYnDi9CCc
Bootleg Rascal,surf rock,2cScEQkwCAObAfeFX4CYr4
Adam Buxton,children's music,1tELKM5wjfv7SlSNgVOdAq
Turf,argentine rock,0Zncosr79q01riJYbSBNA1
"Relaxing Jazz Music, Smooth Chill Dinner Background Instrumental Songs",smooth jazz,59eOuKBNSdDsyafIzAw0au
Rock Mafia,,4pzAvicKWenQtv9zIQim47
Snow Patrol,,3rIZMv9rysU7JkLzEaC5Jp
