genre_group,artistname,total_minutes_played
Acoustic/Instrumental,Koino Yokan,802.3111833333333333
Acoustic/Instrumental,Hans Zimmer,322.9344666666666667
Acoustic/Instrumental,Pacific,157.9359333333333333
Acoustic/Instrumental,Loren Allred,148.8083666666666667
Acoustic/Instrumental,Klaus Badelt,95.6049833333333333
Acoustic/Instrumental,C. J. Johnson,88.0373333333333333
Acoustic/Instrumental,Studio Allstars,68.7475833333333333
Acoustic/Instrumental,Trevor Morris,47.1637500000000000
Acoustic/Instrumental,Stealth,41.4642500000000000
Acoustic/Instrumental,Shelly Sony,38.0697333333333333
Acoustic/Instrumental,Mark Wilkinson,32.0115666666666667
Acoustic/Instrumental,Michael Giacchino,31.6140666666666667
Acoustic/Instrumental,Evlay,27.1356666666666667
Acoustic/Instrumental,Rodrigo y Gabriela,18.6991000000000000
Acoustic/Instrumental,John Cruz,18.1500000000000000
Acoustic/Instrumental,Rudimental,17.8298500000000000
Acoustic/Instrumental,Harry Gregson-Williams,15.9757166666666667
Acoustic/Instrumental,Patrick Doyle,14.0392333333333333
Acoustic/Instrumental,Two Steps from Hell,12.7017833333333333
Acoustic/Instrumental,Bruno Coulais,9.7395333333333333
Acoustic/Instrumental,Mauricio Galbardi,8.2654333333333333
Acoustic/Instrumental,John Powell,7.5777500000000000
Acoustic/Instrumental,Brian Tyler,7.1311000000000000
Acoustic/Instrumental,Steve Jablonsky,7.0415333333333333
Acoustic/Instrumental,Jason Chen,6.9933333333333333
Acoustic/Instrumental,Hans Wolfgang Ziegler,6.8849000000000000
Acoustic/Instrumental,Michael Marc,6.8089333333333333
Acoustic/Instrumental,Randy Newman,6.6922166666666667
Acoustic/Instrumental,DJ ZzZzz,6.2448333333333333
Acoustic/Instrumental,Pentatonix,5.5927833333333333
Acoustic/Instrumental,James Horner,5.5530000000000000
Acoustic/Instrumental,Audiomachine,5.5286000000000000
Acoustic/Instrumental,Trevor Rabin,4.8800000000000000
Acoustic/Instrumental,Antonio Garcia Isaac,4.3137166666666667
Acoustic/Instrumental,Alexandre Desplat,4.2555333333333333
Acoustic/Instrumental,Yann Tiersen,4.1952166666666667
Acoustic/Instrumental,Shakuhachi Sakano,4.0722666666666667
Acoustic/Instrumental,Double Zero,3.9940000000000000
Acoustic/Instrumental,Chocolate,3.8791833333333333
Acoustic/Instrumental,Greg Edmonson,3.7570000000000000
Acoustic/Instrumental,Emiliano Blangero,3.5867000000000000
Acoustic/Instrumental,Ramin Djawadi,3.5426666666666667
Acoustic/Instrumental,Moisés Nieto,3.4993000000000000
Acoustic/Instrumental,Howard Shore,3.3957666666666667
Acoustic/Instrumental,Sungha Jung,3.3937333333333333
Acoustic/Instrumental,Tyler Bates,3.3638833333333333
Acoustic/Instrumental,The Citizens of Halloween,3.2760000000000000
Acoustic/Instrumental,Tom Ellenhag,3.1490000000000000
Acoustic/Instrumental,James Newton Howard,2.9001666666666667
Acoustic/Instrumental,Allysium,2.8082833333333333
Acoustic/Instrumental,Paco Nula,2.7051000000000000
Acoustic/Instrumental,Bill Valentino,2.4938166666666667
Acoustic/Instrumental,Antonio De Lucena,2.4666666666666667
Acoustic/Instrumental,Miguel Serugetti,2.4294666666666667
Acoustic/Instrumental,d Henry Fenton,2.3322166666666667
Acoustic/Instrumental,Henry Jackman,2.3053333333333333
Acoustic/Instrumental,Dick Dale,2.2664333333333333
Acoustic/Instrumental,Danny Elfman,2.2463333333333333
Acoustic/Instrumental,azayaka,2.1895833333333333
Acoustic/Instrumental,Ilan Eshkeri,2.0586666666666667
Acoustic/Instrumental,Daniel Kaede,1.7409666666666667
Acoustic/Instrumental,Edward Jefferson,1.4158666666666667
Acoustic/Instrumental,Mark Mothersbaugh,1.4076166666666667
Acoustic/Instrumental,Sheet Music Boss,1.3185833333333333
Acoustic/Instrumental,Mark Mancina,1.2928666666666667
Acoustic/Instrumental,DJ Zinc,1.2704333333333333
Acoustic/Instrumental,Christophe Beck,1.08123333333333333333
Acoustic/Instrumental,Vanessa-Mae,0.95793333333333333333
Acoustic/Instrumental,Alan Silvestri,0.95123333333333333333
Acoustic/Instrumental,Tango,0.88365000000000000000
Acoustic/Instrumental,Lynn Ahrens,0.81668333333333333333
Acoustic/Instrumental,Mysha Didi,0.79533333333333333333
Acoustic/Instrumental,Mariachi México de Pepe Villa,0.54850000000000000000
Acoustic/Instrumental,Christopher Walken,0.52515000000000000000
Acoustic/Instrumental,Charlton Heston,0.51155000000000000000
Acoustic/Instrumental,Jerry Goldsmith,0.48050000000000000000
Acoustic/Instrumental,DEKKO,0.42713333333333333333
Acoustic/Instrumental,Piano Pianissimo,0.40378333333333333333
Acoustic/Instrumental,Rockwell,0.36125000000000000000
Acoustic/Instrumental,Chilly Gonzales,0.21108333333333333333
Acoustic/Instrumental,One Piano,0.16796666666666666667
Acoustic/Instrumental,Germaine Franco,0.15733333333333333333
Acoustic/Instrumental,Chorus,0.12923333333333333333
Acoustic/Instrumental,Antonio Pinto,0.12433333333333333333
Acoustic/Instrumental,Sergi Vicente,0.12230000000000000000
Acoustic/Instrumental,Movie Sounds Unlimited,0.11183333333333333333
Acoustic/Instrumental,Joseph Vincent,0.10878333333333333333
Acoustic/Instrumental,Peter Pupping,0.09456666666666666667
Acoustic/Instrumental,Gustavo Santaolalla,0.05048333333333333333
Acoustic/Instrumental,The Tormentos,0.04521666666666666667
Acoustic/Instrumental,2CELLOS,0.01955000000000000000
Acoustic/Instrumental,Kyoresu,0.01600000000000000000
Acoustic/Instrumental,Richard Sapphire,0.00466666666666666667
Alternative,The Fray,410.1952000000000000
Alternative,Portugal. The Man,311.6979833333333333
Alternative,Beck,127.9457000000000000
Alternative,Boyce Avenue,117.6139666666666667
Alternative,Django Django,36.5075333333333333
Alternative,DENNIS,10.4646833333333333
Alternative,Rusted Root,8.7782166666666667
Alternative,PJ Harvey,7.7910500000000000
Alternative,Los Mesoneros,7.1099666666666667
Alternative,Tora,5.6838833333333333
Alternative,Somnolence,5.6548000000000000
Alternative,Jordy Searcy,5.0227500000000000
Alternative,MC Bin Laden,4.8844000000000000
Alternative,Juan Son,4.4157666666666667
Alternative,Plastilina Mosh,3.6813333333333333
Alternative,Barbatuques,3.4160666666666667
Alternative,John Frusciante,3.2535500000000000
Alternative,Iman,3.1432166666666667
Alternative,binki,2.6721500000000000
Alternative,The Flaming Lips,1.7371333333333333
Alternative,Tune-Yards,0.37981666666666666667
Alternative,The Velvet Underground,0.35000000000000000000
Alternative,SAINTS OF VALORY,0.03350000000000000000
Alternative,Lasso,0.02945000000000000000
Alternative,Glup!,0.01256666666666666667
Alternative,Mini Mansions,0.00640000000000000000
Brazilian,Gilberto Gil,934.6382833333333333
Brazilian,Chiquititas,386.4905500000000000
Brazilian,Bossa Nova Covers,336.3026500000000000
Brazilian,Ana Paula,81.3442333333333333
Brazilian,Tchakabum,54.3297833333333333
Brazilian,É O Tchan,38.4292833333333333
Brazilian,Michel Teló,30.6547833333333333
Brazilian,Gusttavo Lima,24.7928166666666667
Brazilian,Vanessa Da Mata,21.3226833333333333
Brazilian,MC L da Vinte,16.9594166666666667
Brazilian,Nando Reis,13.1726500000000000
Brazilian,XANDDY HARMONIA,13.0363500000000000
Brazilian,João Bosco & Vinicius,11.9754333333333333
Brazilian,Caetano Veloso,10.0202000000000000
