genre,genre_group,total_minutes_played
420,Latin,2.5165500000000000
a cappella,Acoustic/Instrumental,5.5927833333333333
Acid Rock,Rock,6.0965333333333333
adoracion,Christian,17.2886166666666667
afrobeat,Hip-Hop,29.4918333333333333
afrobeats,Hip-Hop,10.0986500000000000
afro trap,Hip-Hop,0.05966666666666666667
alabanza,Christian,0.03333333333333333333
Alt-country,Country,5.7391166666666667
alternative,Alternative,694.3371500000000000
alternative metal,Metal,0.03775000000000000000
alternative rock,Rock,920.6463333333333333
alt rock,Rock,3.0335500000000000
ambient,Chill,145.3046666666666667
anthem worship,Christian,0.01250000000000000000
Argentine Rock,Rock,544.6955333333333333
art pop,Pop,50.1423000000000000
Avant-garde Metal,Metal,316.5915000000000000
Axe,Brazilian,60.2180666666666667
bachata,Latin,365.9965166666666667
baile,Dance,63.4465666666666667
baile funk,Dance,7.6900833333333333
balada,Latin,0.55916666666666666667
beat,Hip-Hop,3.8814500000000000
beatbox,Hip-Hop,0.15646666666666666667
beats,Hip-Hop,1.4579500000000000
bedroom pop,Pop,219.3022500000000000
black metal,Metal,60.9131500000000000
blues,Soul/R&B/Blues,827.4690000000000000
blues rock,Rock,150.9644833333333333
bolero,Latin,10.3181833333333333
Bossa Nova,Latin,504.3339500000000000
brasil,Brazilian,17.3410166666666667
brazil,Brazilian,465.6377666666666667
brazilian,Brazilian,83.8791333333333333
brazilian country,Brazilian,0.46231666666666666667
britpop,Pop,2481.8610833333333333
Broadway,Musical,762.4629833333333333
Brutal Death Metal,Metal,4.6988833333333333
calm,Chill,2.2583500000000000
candombe,Latin,3.8423166666666667
cartoon,Children,45.7615000000000000
catholic,Christian,25.2468000000000000
children,Children,0.52766666666666666667
childrens,Children,0.04763333333333333333
chill,Chill,1258.0813666666666667
chillhop,Chill,3.4451166666666667
chillout,Chill,52.9365166666666667
christian,Christian,1741.3930333333333333
christian pop,Pop,4.0468000000000000
Christian Reggeaton,Christian,4.0223000000000000
christian rock,Rock,102.8318833333333333
Classical,Classical,145.5057000000000000
classical guitar,Classical,1.2139833333333333
classic rock,Rock,5277.3790833333333333
cloud rap,Hip-Hop,0.84511666666666666667
comedy,Children,42.1574333333333333
comic,Children,0.17545000000000000000
contemporary christian,Christian,0.63183333333333333333
contemporary classical,Classical,8.1308833333333333
corridos,Latin,0.59976666666666666667
Corridos tumbados,Latin,22.8997500000000000
country,Country,566.6660666666666667
cover,Acoustic/Instrumental,194.9824833333333333
covers,Acoustic/Instrumental,958.9082166666666667
cristiana,Christian,3.8375833333333333
Cristiano,Christian,0.14308333333333333333
Cuarteto,Latin,69.0125000000000000
cumbia,Latin,2472.7015500000000000
cumbia cheta,Latin,6.6281833333333333
cumbia pop,Pop,40.6406833333333333
cute,Chill,0.01920000000000000000
dance,Dance,689.3654833333333333
dance-pop,Pop,0.07000000000000000000
death metal,Metal,52.7058666666666667
dembow,Latin,18.6198000000000000
Disco,Dance,113.2615000000000000
Disney,Children,1139.2824666666666667
disney channel,Children,0.000000000000000000000000
doom metal,Metal,3.8607166666666667
downtempo,Electronic,2.7134166666666667
dream pop,Pop,169.6211000000000000
Drum and bass,Acoustic/Instrumental,256.1780666666666667
drumstep,Electronic,0.61916666666666666667
dub,Electronic,319.9208666666666667
dubstep,Electronic,11.5032500000000000
EDM,Electronic,5.6996500000000000
electro,Electronic,4.2597166666666667
Electroclash,Electronic,0.05966666666666666667
electronic,Electronic,7925.4239500000000000
electronica,Electronic,0.92016666666666666667
electropop,Pop,0.02166666666666666667
electro-swing,Electronic,0.04705000000000000000
emo,emo,8.5630000000000000
english indie rock,Rock,61.2363833333333333
estilo cumbia,Latin,0.66000000000000000000
eurobeat,Hip-Hop,396.9956500000000000
eurodance,Dance,15.7160000000000000
experimental,Alternative,337.6426500000000000
fiesta,Dance,7.7343000000000000
folclore,Latin,1.9378166666666667
folk,Folk,4944.4499333333333333
folklore,Folk,13.0913000000000000
folklore argentino,Latin,227.9985666666666667
for children,Children,0.02050000000000000000
free jazz,Jazz,37.1403166666666667
funk,Funk,1400.4861166666666667
funkadelic,Funk,0.05568333333333333333
Funk Carioca,Funk,0.65800000000000000000
funk metal,Metal,0.06773333333333333333
funny,funny,0.57895000000000000000
glam rock,Rock,65.7717000000000000
glee,Children,247.6791333333333333
gospel,Christian,46.3076000000000000
Grime,Electronic,75.3089333333333333
groove metal,Metal,0.14133333333333333333
Grunge,Rock,270.6651666666666667
guitar,Acoustic/Instrumental,38.0516166666666667
Hairspray,Children,15.2957833333333333
hardcore,Metal,31.2296833333333333
hardcore techno,Electronic,21.5479333333333333
hard rock,Rock,1208.0376166666666667
hardstyle,Electronic,0.10480000000000000000
heavy metal,Metal,408.2719500000000000
hip hop,Hip-Hop,332.2154833333333333
Hip-Hop,Hip-Hop,2384.3134666666666667
indie,Indie,23448.279050000000
indie argentino,Indie,2.6179166666666667
indie folk,Indie,1.5915666666666667
indie pop,Pop,1954.8893500000000000
indie-pop,Pop,3.9391166666666667
indie rock,Rock,7056.7896833333333333
indietronica,Indie,8.2771000000000000
infancia,Children,1.4682166666666667
infantil,Children,21.8808166666666667
infantil- juvenil- brasileira,Brazilian,386.4905500000000000
instrumental,Acoustic/Instrumental,715.5872000000000000
instrumental hip-hop,Hip-Hop,16.8608666666666667
jazz,Jazz,658.0531333333333333
jazz-rock,Rock,0.26250000000000000000
Jazz Rock,Rock,22.2196500000000000
jesucristo,Christian,26.7622500000000000
joda,Dance,10.5254500000000000
j-pop,Pop,7.9404500000000000
J-rock,Rock,0.12866666666666666667
kids,Children,16.2230833333333333
k-pop,Pop,399.2849666666666667
latin,Latin,7006.0308500000000000
latino,Latin,17.4251500000000000
latin pop,Pop,4718.2210333333333333
Latin Rap,Hip-Hop,8.8809333333333333
Latin Rock,Rock,3.4146666666666667
Latin Urban,Hip-Hop,11.9994000000000000
lofi,Chill,1.6848666666666667
Lo-Fi,Chill,256.6058833333333333
lounge,Chill,35.6264000000000000
low fi,Chill,0.09421666666666666667
maestros,Children,0.23411666666666666667
mariachi,Latin,0.71121666666666666667
math rock,Rock,1.1726666666666667
meditacion,Chill,4.2000000000000000
melodic,Acoustic/Instrumental,2.3322166666666667
Melodic Death Metal,Metal,2.4852333333333333
merengue,Latin,495.6768666666666667
metal,Metal,3.4736166666666667
metalcore,Metal,25.0832000000000000
mpb,Brazilian,1035.6420500000000000
Nature,Chill,138.0111666666666667
Neo-Soul,Soul/R&B/Blues,4.2301666666666667
new age,Chill,0.22000000000000000000
new wave,Indie,285.0086500000000000
Nu Metal,Metal,8.8281000000000000
Old school Hardcore,Metal,2.1833333333333333
orchestra,Classical,1.04131666666666666667
orchestral,Classical,0.16370000000000000000
pagan metal,Metal,0.88273333333333333333
Pagode,Brazilian,0.78861666666666666667
paz,Chill,37.0823166666666667
phonk,Funk,0.80073333333333333333
piano,Acoustic/Instrumental,20.1037833333333333
pop,Pop,38668.429616666667
pop argentino,Pop,5.9261833333333333
pop punk,Pop,6.8066666666666667
Pop-punk,Pop,31.1626166666666667
pop rap,Pop,2.1774333333333333
pop rock,Pop,2106.0419166666666667
post-hardcore,Metal,0.76446666666666666667
Post-Metal,Metal,7.3657666666666667
post-punk,Punk,438.0812166666666667
post-rock,Rock,76.3726666666666667
Power metal,Metal,5.0726000000000000
power pop,Pop,3.5091666666666667
powerpop,Pop,0.14240000000000000000
praise & worship,Christian,0.05745000000000000000
Progressive,Alternative,3.1432166666666667
Progressive metal,Metal,6.6082000000000000
Progressive rock,Rock,806.6294333333333333
psychedelic,Alternative,47.3580666666666667
psychedelic pop,Pop,38.0943500000000000
Psychedelic Rock,Rock,254.0442333333333333
psychedelic trance,Electronic,0.61945000000000000000
punk,Punk,170.6621000000000000
punk rock,Rock,374.0587166666666667
raggaeton,Latin,5.4684166666666667
ranchera,Latin,53.3516000000000000
rap,Hip-Hop,6860.9873333333333333
rapcore,Hip-Hop,41.8346166666666667
r&b,Soul/R&B/Blues,0.54133333333333333333
reggae,Ska/Reggae,18401.771450000000
Reggaeton,Latin,2327.2861000000000000
relax,Chill,19.5172333333333333
relaxing,Chill,7.1809166666666667
rkt,Dance,47.6121500000000000
rnb,Soul/R&B/Blues,1543.9625500000000000
rocanrol,Rock,0.51966666666666666667
rock,Rock,24294.122750000000
rockabilly,Rock,6.7276833333333333
rock alternativo,Rock,2.7950333333333333
Rock and Roll,Rock,3.8444166666666667
Rock Argentino,Rock,31447.962433333333
rock argento,Rock,16.0739666666666667
rock n roll,Rock,11.6400500000000000
rocksteady,Rock,0.03563333333333333333
salsa,Latin,48.7004500000000000
samba,Latin,24.4669833333333333
sertanejo,Brazilian,76.9554166666666667
showtunes,Children,15.0695000000000000
ska,Ska/Reggae,3604.4655166666666667
Sleep,Chill,3.0500000000000000
sleep aid,Chill,22.2406333333333333
Sludge,Metal,12.2689333333333333
Smooth Jazz,Jazz,12.2345666666666667
soft rock,Rock,420.6306833333333333
soul,Soul/R&B/Blues,2235.0728000000000000
Southern Gospel,Christian,0.03475000000000000000
Southern Rock,Rock,9.4320333333333333
spoken word,Acoustic/Instrumental,1.03670000000000000000
Stoner Rock,Rock,4.8622166666666667
street punk,Punk,6.6000000000000000
synthpop,Pop,74.0154666666666667
tango,Latin,73.2918333333333333
tango argentino,Latin,1.8784833333333333
techno,Electronic,35.4164166666666667
thrash metal,Metal,0.35353333333333333333
trance,Electronic,91.4686500000000000
trap,Hip-Hop,1236.6784833333333333
trap argentino,Hip-Hop,82.1420666666666667
trip-hop,Hip-Hop,81.4824500000000000
TropiPop,Pop,11.9563166666666667
trova,Brazilian,3.5990500000000000
Urbano Latino,Hip-Hop,2.5000166666666667
vocal,Acoustic/Instrumental,0.94591666666666666667
west end,Children,10.7661666666666667
