hour,total_minutes,most_listened_genre,most_listened_genre_minutes,second_most_listened_genre,second_most_listened_genre_minutes,third_most_listened_genre,third_most_listened_genre_minutes
0,6286.13628333333333340000,Rock,1912.2374333333333333,Pop,1311.9918166666666667,Latin,554.3799000000000000
1,4653.9252499999999999,Rock,1542.9250500000000000,Pop,817.7281833333333333,Indie,536.7059666666666667
2,2680.78478333333333343333,Rock,1021.0357833333333333,Pop,324.7261833333333333,Hip-Hop,289.8396000000000000
3,1609.4161833333333333,Rock,752.4814000000000000,Indie,202.4582333333333333,Pop,189.5783166666666667
4,956.23776666666666686667,Rock,472.0413666666666667,Pop,156.2961500000000000,Indie,76.7505166666666667
5,1126.44318333333333336667,Rock,524.3687166666666667,Pop,258.6374166666666667,Indie,66.5937000000000000
6,5332.5611333333333332,Rock,2086.5642000000000000,Pop,922.5473500000000000,Indie,749.8313500000000000
7,6295.1802833333333332,Rock,2122.6189666666666667,Pop,1339.2643333333333333,Indie,744.0059000000000000
8,3711.56990000000000003333,Rock,1275.4411333333333333,Pop,628.0056666666666667,Indie,571.9486500000000000
9,5372.1251333333333332,Rock,1946.4170333333333333,Indie,879.0137666666666667,Pop,807.1899000000000000
10,8571.8640333333333334,Rock,3090.6423000000000000,Pop,1451.4320333333333333,Indie,1103.2082500000000000
11,14025.2702333333333334,Rock,4707.4368166666666667,Pop,2503.2420000000000000,Indie,1751.8984166666666667
12,16572.4806999999999999,Rock,4829.6630666666666667,Pop,3646.6583833333333333,Ska/Reggae,1998.9085000000000000
13,15467.53644999999999996666,Rock,4589.1358666666666667,Pop,3257.4746000000000000,Ska/Reggae,2092.1751333333333333
14,14799.793783333333333366670000,Rock,5064.8917000000000000,Pop,2829.6051166666666667,Ska/Reggae,1723.3907000000000000
15,16750.3963666666666666,Rock,5564.7517000000000000,Pop,3414.4921333333333333,Ska/Reggae,1998.0384000000000000
16,17054.6454333333333335,Rock,5204.7326500000000000,Pop,3985.3469000000000000,Ska/Reggae,2055.1681666666666667
17,15169.1488666666666668,Rock,5515.0049666666666667,Pop,2802.4005000000000000,Ska/Reggae,1599.4843166666666667
18,12937.7808666666666666,Rock,4087.4990833333333333,Pop,3021.6434500000000000,Indie,1191.6583500000000000
19,15803.84103333333333316667,Rock,4411.8114833333333333,Pop,4258.0450000000000000,Indie,1522.2389000000000000
20,16138.6669333333333331,Pop,5079.0046833333333333,Rock,4215.6311333333333333,Indie,1251.6310500000000000
21,11946.5997000000000001,Pop,3466.2878833333333333,Rock,3363.1155500000000000,Latin,1011.9635333333333333
22,9621.46615000000000013333,Rock,2949.5113833333333333,Pop,2523.3907500000000000,Indie,805.0535000000000000
23,7975.0798666666666668,Rock,2175.1389333333333333,Pop,2003.2541833333333333,Indie,922.9080333333333333
