hour,total_minutes,most_listened_genre
0,586.7799666666666667,rock
1,395.8941000000000000,rock
2,219.9499833333333333,rock
3,174.3797166666666667,rock
4,113.9723000000000000,rock
5,73.6063666666666667,rock
6,7.2841666666666667,musicals
7,0,NULL
8,7.0904333333333333,pop
9,248.0477500000000000,rock
10,266.2372000000000000,rock
11,349.6252833333333333,rock
12,650.6070500000000000,rock
13,776.2790833333333333,rock
14,1089.8193333333333333,rock
15,942.8738833333333333,rock
16,851.6951333333333333,rock
17,1075.6302500000000000,rock
18,999.9007000000000000,rock
19,1234.4689500000000000,rock
20,1297.9923833333333333,rock
21,1031.6607666666666667,rock
22,1257.5225166666666667,rock
23,840.4064666666666667,rock
