endTime,artistName,trackName,msPlayed
2025-03-17 11:47,El Cuarteto De Nos,Yendo a la Casa de Damián,1371
2025-03-18 11:32,The Marías,Run Your Mouth,1868
2025-03-18 11:32,The Killers,Mr. Brightside,1182
2025-03-18 12:01,Tan Bionica,La Suerte Esta Echada,265546
2025-03-18 12:05,Tan Bionica,Lunita de Tucumán,236120
2025-03-18 12:10,Tan Bionica,Un Poco Perdido,279480
2025-03-18 12:13,Tan Bionica,Hola Mi Vida,211626
2025-03-18 12:18,Tan Bionica,Mis Noches de Enero,293946
2025-03-18 12:24,Tan Bionica,Música,325240
2025-03-18 12:27,Chano,Naistumichiu,179400
2025-03-18 12:29,Chano,Claramente,161000
2025-03-18 12:34,Tan Bionica,La Melodía de Dios,285306
2025-03-18 12:37,Tan Bionica,Loca,208813
2025-03-18 12:41,Tan Bionica,Ella,227866
2025-03-18 12:45,Tan Bionica,Tus Ojos Mil,245546
2025-03-18 12:49,Tan Bionica,El Duelo,243946
2025-03-18 12:54,Tan Bionica,Pastillitas del Olvido,273440
2025-03-18 12:58,Tan Bionica,Obsesionario en La Mayor,266840
2025-03-18 13:02,Tan Bionica,Las Cosas Que Pasan,221520
2025-03-18 17:15,Tan Bionica,Hola Noviembre,115444
2025-03-19 09:16,Coldplay,Fix You,295533
2025-03-19 09:19,Jack Johnson,I Got You,179346
2025-03-19 09:23,The Police,Every Little Thing She Does Is Magic,260573
2025-03-19 09:25,The Lumineers,Flowers In Your Hair,109735
2025-03-19 09:29,Coldplay,Adventure of a Lifetime,263786
2025-03-19 09:32,Jack Johnson,Good People,208506
2025-03-19 09:37,Coldplay,Paradise,278719
2025-03-19 09:42,The Police,Message In A Bottle,290280
2025-03-19 09:45,X Ambassadors,Renegades,195200
2025-03-19 09:50,James Blunt,1973,280026
2025-03-19 09:53,Train,"Hey, Soul Sister",216773
2025-03-19 09:54,Lewis Capaldi,Bruises,2532
2025-03-19 09:54,Duncan Laurence,Arcade,44817
2025-03-19 09:54,Bruno Mars,Marry You,11986
2025-03-19 09:58,Capital Cities,Safe and Sound,192789
2025-03-19 10:01,Jack Johnson,Banana Pancakes,191906
2025-03-19 10:04,James Blunt,You're Beautiful,209493
2025-03-19 10:08,Lionel Richie,All Night Long (All Night) - Single Version,258666
2025-03-19 10:11,The 502s,Just A Little While,162608
2025-03-19 10:14,Neon Trees,Everybody Talks,177280
2025-03-19 10:19,Jason Mraz,I'm Yours,242946
2025-03-19 10:22,Vance Joy,Riptide,204280
2025-03-19 10:26,Sean Kingston,Beautiful Girls,225373
2025-03-19 10:30,Jason Mraz,I Won't Give Up,240165
2025-03-19 10:35,Sam Smith,Stay With Me,113220
2025-03-19 13:45,Weezer,Island In The Sun,9239
2025-03-19 13:45,Sam Smith,Stay With Me,60550
2025-03-19 13:48,Andrés Calamaro,Cuando te conocí,199666
2025-03-19 13:54,Divididos,¿Qué Ves?,313733
2025-03-19 13:57,Andrés Calamaro,Me arde,217733
2025-03-19 14:01,Soda Stereo,De Música Ligera - Remasterizado 2007,213066
2025-03-19 14:04,Callejeros,Prohibido,210013
2025-03-19 14:07,Intoxicados,Señor Kioskero,198385
2025-03-19 14:10,Callejeros,Un Lugar Perfecto,179746
2025-03-19 14:14,Intoxicados,Esta Saliendo El Sol,248600
2025-03-19 14:18,Mancha De Rolando,Chino,202360
